benchmark,subject,n,accuracy,correct,choice_nll,choice_nll_sum,correct_answer_bpb,correct_answer_neg_log2_sum,correct_answer_utf8_bytes
greekmmlu,__all__,16632,0.5482804232804233,9119,1.1029143813128557,18343.671989995415,0.22326494769609606,212441.73282663242,951523
greekmmlu,Accounting,184,0.358695652173913,66,1.2835070990477626,236.16530622478834,0.2307711285193179,2314.403647920239,10029
greekmmlu,Agriculture,409,0.530562347188264,217,1.1269432357181324,460.91978340871617,0.14981457338196807,5271.375579017928,35186
greekmmlu,Art,651,0.5422427035330261,353,1.0058505812587655,654.8087283994563,0.2663420501560647,6772.279309318257,25427
greekmmlu,Biology,418,0.4784688995215311,200,1.239544270380055,518.129505018863,0.3290077609222443,6944.6958175467325,21108
greekmmlu,Chemistry,81,0.38271604938271603,31,1.3906844335128041,112.64543911453714,0.522623572104816,1037.9304142001647,1986
greekmmlu,Civil Engineering,769,0.5097529258777633,392,1.0791529345631683,829.8686066790764,0.27483222668918317,7898.953027273814,28741
greekmmlu,Clinical Knowledge,633,0.6050552922590837,383,0.9325068933000471,590.2768634589298,0.21330167690406857,7127.262232072547,33414
greekmmlu,Computer Networks & Security,63,0.2698412698412698,17,1.5357818985971192,96.75425961161851,0.19353400104270732,928.7696710039525,4799
greekmmlu,Computer Science,358,0.6005586592178771,215,1.2395395370893743,443.755154277996,0.2143737508646947,5198.349084717982,24249
greekmmlu,Computer_Networks_and_Security,23,0.6521739130434783,15,1.2218039816373734,28.101491577659587,0.5612173212158922,384.99508235410207,686
greekmmlu,Driving Rules,1658,0.5500603136308806,912,1.0433007315857148,1729.7926129691152,0.14511657912106263,25426.311177538748,175213
greekmmlu,Economics,282,0.5460992907801419,154,1.2113765449977139,341.6081856893553,0.15483525430187714,3718.6783025681834,24017
greekmmlu,Education,294,0.564625850340136,166,0.965562818875637,283.8754687494373,0.19161077335561952,3460.107345255777,18058
greekmmlu,Electrical Engineering,552,0.4963768115942029,274,1.0887642549625673,600.9978687393372,0.29728699123510677,5807.204086786575,19534
greekmmlu,General Knowledge,351,0.5156695156695157,181,1.1780570894194697,413.4980383862339,0.19805016680571763,4463.060508966847,22535
greekmmlu,Geography,422,0.6587677725118484,278,1.0753984264372798,453.8181359565321,0.3098759990746643,5716.592430929407,18448
greekmmlu,Government and Politics,355,0.6647887323943662,236,1.0415886825899476,369.7639823194314,0.243896065759628,5073.5259599317815,20802
greekmmlu,Greek History,674,0.6068249258160238,409,1.054137260266865,710.4885134198671,0.29494287293638294,9357.06264390675,31725
greekmmlu,Greek Literature,14,0.35714285714285715,5,1.1401695990715979,15.96237438700237,0.32532432574623726,187.7121359555789,577
greekmmlu,Greek Mythology,238,0.6092436974789915,145,1.0448542020585156,248.67530008992674,0.29754241079291927,3339.318476328933,11223
greekmmlu,Greek Traditions,376,0.6143617021276596,231,0.8957808546671353,336.8136013548429,0.2679971815990784,3895.607031724204,14536
greekmmlu,Law,936,0.3717948717948718,348,1.3688138021697676,1281.2097188309024,0.11562861511596616,14443.401571365564,124912
greekmmlu,Management,666,0.5885885885885885,392,0.8871788008602826,590.8610813729482,0.30149148849265,6396.14192837157,21215
greekmmlu,Maritime Safety and Rescue Operations,148,0.41216216216216217,61,1.1376240353849503,168.36835723697263,0.14923300610712337,2145.970627820434,14380
greekmmlu,Mathematics,1118,0.5035778175313059,563,1.2424822662410553,1389.0951736574998,0.664471448750783,11898.69023278027,17907
greekmmlu,Medicine,534,0.5037453183520599,269,1.102692537180815,588.8378148545552,0.2386771645299999,6974.624101895657,29222
greekmmlu,Modern Greek Language,2358,0.5602205258693809,1321,1.1645286270965236,2745.958502693603,0.42904125881137023,31294.269417701344,72940
greekmmlu,Physics,1829,0.6139967195188628,1123,1.0084120717581855,1844.3856792457213,0.19924123972895358,21326.383818107734,107038
greekmmlu,Prehistory,63,0.7619047619047619,48,0.9317958079182216,58.70313589884796,0.2552697289908489,955.985135070729,3745
greekmmlu,World History,20,0.8,16,0.8590586816188448,17.181173632376897,0.24629834266945463,278.5634255591532,1131
greekmmlu,World Religions,155,0.632258064516129,98,1.176465372511392,182.35213273926578,0.1435787695723583,2403.508602641278,16740
